Country,mean
ARG,10.184474250000001
AUS,13.705638333333333
AUT,4.004074
BEL,5.6318082857142855
CAN,23.934192499999998
CHL,7.245439285714286
COL,0.03788707777777778
CRI,0.0
CZE,11.933322857142857
DEU,0.0
DNK,8.439047599999999
ESP,3.3815695714285714
EST,8.672982900000001
FIN,3.6010851428571433
FRA,9.778264428571429
GBR,20.949540000000002
IND,0.0
IRL,2.32651975
ISL,0.6341990142857143
ISR,17.080055384615385
ITA,6.338554142857143
JPN,15.754014444444445
KOR,18.567975
LTU,6.367449999999999
LUX,2.2073256000000003
LVA,2.314888614285714
MEX,0.3613084538461538
NLD,13.237045714285715
NOR,1.3434866714285714
NZL,14.95577
POL,3.8790464545454544
PRT,5.920370714285714
RUS,11.805619
SVK,12.116448142857143
SVN,3.0626532750000006
SWE,10.224174000000001
TUR,13.526773875
USA,18.103755714285715
