Country,mean
ARG,29.173209
AUS,52.618699750000005
AUT,40.9531135
BEL,47.22831625
BRA,21.515615999999998
CAN,62.50571925
CHE,51.75302375
CHL,33.726387
COL,29.233347000000002
CRI,29.9079275
CZE,33.18299225
DEU,32.9318595
DNK,45.2606335
ESP,45.1980225
EST,43.145182750000004
FIN,42.263498999999996
FRA,47.19593525
GBR,52.5051155
GRC,42.84842675
HUN,30.504271499999998
IDN,16.130028
IRL,55.8702975
ISL,41.31894675
ISR,47.360536499999995
ITA,27.78666325
JPN,60.89044033333334
KOR,69.73546424999999
LTU,55.64470575
LUX,54.829644249999994
LVA,42.828776250000004
MEX,23.6982075
NLD,48.89068125
NOR,49.01237125
NZL,44.419041500000006
POL,43.2420875
PRT,37.09666625
RUS,62.374052
SVK,37.6185915
SVN,43.702847500000004
SWE,48.106246999999996
TUR,33.398018666666665
USA,49.84174899999999
ZAF,14.61352625
