Country,mean
ARG,20.166327499999998
AUS,62.58793000000001
AUT,6.848618571428572
BEL,11.893490416666666
CAN,43.434059999999995
CHL,73.09879428571429
COL,51.05923888888889
CRI,40.58065
CZE,20.124006428571427
DEU,14.13483818181818
DNK,5.651987308333333
ESP,27.008405
EST,19.251759166666666
FIN,3.658943357142857
FRA,19.484730833333334
GBR,65.2757957142857
GRC,8.855762733333332
HUN,32.285803333333334
IND,9.650808900000001
IRL,28.577932500000003
ISL,8.385270230769232
ISR,43.72055499999999
ITA,30.78836357142857
JPN,67.487514
KOR,62.10367
LTU,28.41406583333333
LUX,4.755120428571429
LVA,31.76687571428572
MEX,29.975353076923074
NLD,27.777081428571428
NOR,4.658775250000001
NZL,48.45991
POL,22.637540833333333
PRT,29.07784742857143
RUS,35.39698818181818
SVK,22.893308785714286
SVN,14.3641575
SWE,10.173123214285711
TUR,24.572122500000003
USA,61.76625714285713
