Country,mean
AUS,48.035935
AUT,2.8445451428571427
BEL,7.874430428571429
CAN,20.850393750000002
CHL,58.18537571428572
COL,51.02135111111111
CRI,40.58065
CZE,8.221985571428572
DNK,0.075559
ESP,27.825514285714288
EST,8.180689142857142
FIN,0.02340588571428571
FRA,11.078181428571428
GBR,44.326255714285715
GRC,12.682315833333332
HUN,45.56461
IND,19.07814
IRL,26.2514125
ISL,7.5471008571428575
ISR,27.672191538461544
ITA,28.132532857142856
JPN,51.93781666666667
KOR,43.5357
LTU,22.046615833333334
LUX,2.5477948571428572
LVA,26.457045714285716
MEX,29.663746428571432
NLD,15.910918571428573
NOR,3.6103632857142856
NZL,33.38321
POL,19.08173583333333
PRT,28.705905714285713
RUS,23.57946444444444
SVK,13.442008571428572
SVN,11.357910272727274
SWE,0.7589025857142857
TUR,11.045346250000001
USA,43.66250071428571
