Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
2306;expert;Bhushan Kapkar;2019;0;0;7;29
2307;expert;Svetlana Ulianova;2019;0;2;5;29
2308;expert;Purva Singh;2019;0;1;7;29
2309;expert;Chizuchizu;2019;0;1;4;29
2310;expert;Utkarsh Chandra Srivastava;2019;0;0;6;29
2311;expert;Ashik M;2019;0;0;6;29
2312;expert;hongy;2019;0;2;3;29
2313;expert;Dirty_noob;2019;0;0;5;29
2314;expert;Vinay Pratap Singh;2020;0;0;6;29
2315;expert;Somesh Sharma;2020;0;0;8;29
2316;expert;Siva;2020;0;0;7;29
2317;expert;Furkan Karakuz;2020;0;0;9;29
2318;expert;Sandy Khosasi;2020;0;0;6;29
2319;expert;Jahanvee Narang;2020;0;0;6;29
2320;expert;Prateek Maheshwari;2020;0;3;2;29
2321;expert;Dibyajit dhara;2020;0;0;6;29
2322;expert;mrinal chandra mishra;2020;0;0;6;29
2323;expert;Ikram Ul Haq;2020;0;0;5;29
2324;expert;Shyam R;2020;0;1;4;29
2325;expert;Ayyuce Kaytazci;2020;0;0;5;29
2326;expert;PATHIK GHUGARE;2020;0;0;5;29
2327;expert;Divyosmi Goswami;2020;0;0;7;29
2328;expert;SALMAN FAROZ;2020;0;0;8;29
2329;expert;MD. Mehedi Hassan Galib;2020;0;0;6;29
2330;expert;Osiris;2021;0;0;5;29
2331;expert;Aakash Verma;2021;0;0;7;29
2332;expert;Rasel Ahmed;2021;0;0;7;29
2333;expert;Andi IDW;2021;0;0;5;29
2334;expert;Mahshid Zomorodi;2021;0;0;6;29
2335;expert;Sweta kumari;2021;0;0;5;29
2336;expert;Vishesh Dugar;2021;0;0;5;29
2337;expert;I_pankaj_kumar;2021;0;0;5;29
2338;expert;Rafael Crescenzi;2015;0;1;9;28
2339;expert;Luis Bronchal;2016;0;1;12;28
2340;expert;François;2016;0;2;11;28
2341;expert;Byfone;2017;0;2;6;28
2342;expert;Andrea Sindico;2017;2;2;13;28
2343;expert;rejasupotaro;2017;2;0;3;28
2344;expert;Maiia Bikmetova;2018;0;1;4;28
2345;expert;mdabbert;2018;0;0;7;28
2346;expert;Felipe Paro Fiorini;2018;0;1;4;28
2347;expert;YoonSoo;2018;0;0;6;28
2348;expert;Rishabh;2018;0;0;6;28
2349;expert;Sergey Guskov;2019;0;0;5;28
2350;expert;Hasan Ocak;2019;0;0;8;28
2351;expert;Abu Zahid Bin Aziz;2019;0;1;5;28
2352;expert;osmanballi;2019;0;0;5;28
2353;expert;Özgür Özarslan;2019;0;0;5;28
2354;expert;Mukesh Choudhary;2019;0;0;7;28
2355;expert;Neil Kloper;2019;0;0;5;28
2356;expert;shruti kunapuli;2019;0;0;5;28
2357;expert;Ansh Gupta;2019;0;0;6;28
2358;expert;Nipun Arora;2019;0;0;5;28
2359;expert;SEUNGHWABACK;2020;0;0;5;28
2360;expert;vipul;2020;0;0;6;28
2361;expert;Meenakshi;2020;0;0;6;28
2362;expert;Thaddeus Segura;2020;0;0;5;28
2363;expert;Shubhankar Tiwari;2020;0;0;7;28
2364;expert;Yash Chauhan;2020;0;0;5;28
2365;expert;Viktor Polevoi;2020;0;0;7;28
2366;expert;Jaidev Chittoria;2020;0;0;6;28
2367;expert;Akhilesh Thite;2021;0;1;4;28
2368;expert;Murat Mert;2021;0;0;5;28
2369;expert;SMIT SHAH;2021;0;0;5;28
2370;expert;Jyoti;2021;0;0;6;28
2371;expert;I_Prerna_Kalura;2021;0;0;5;28
2372;expert;Kaustuv;2015;0;1;4;27
2373;expert;chmaxx;2017;0;2;4;27
2374;expert;James Shepherd;2017;2;2;5;27
2375;expert;Naruhiko Nakanishi;2017;0;1;6;27
2376;expert;jionie;2017;0;3;5;27
2377;expert;Piyush Mishra;2018;0;0;7;27
2378;expert;Youri Matiounine;2018;1;1;5;27
2379;expert;bestmodel;2018;0;0;6;27
2380;expert;Loai abdalslam;2019;0;2;6;27
2381;expert;Raymond Wang;2019;1;0;7;27
2382;expert;Meric Pakkan;2019;0;0;7;27
2383;expert;vishakha;2019;0;0;7;27
2384;expert;DtneSEffct;2019;0;1;8;27
2385;expert;Daria Chemkaeva;2019;0;0;7;27
2386;expert;Kishan Kumar;2019;0;0;7;27
2387;expert;Sasha;2019;0;1;5;27
2388;expert;Aakash V;2020;0;0;7;27
2389;expert;swansh mohidekar;2020;0;0;8;27
2390;expert;farsana s;2020;0;0;7;27
2391;expert;Dharini R;2020;0;1;5;27
2392;expert;Shishir Singh;2020;0;1;7;27
2393;expert;Mohtashim Nawaz;2020;0;1;5;27
2394;expert;Ujwal Kandi;2020;0;0;8;27
2395;expert;Muhammed Dalkýran;2020;0;0;7;27
2396;expert;Aakrit Singhal;2020;0;1;4;27
2397;expert;Vedant Tripathi;2020;0;1;5;27
2398;expert;Hakan Erdogan;2020;0;0;5;27
2399;expert;toyox2020;2020;0;0;7;27
2400;expert;Sahil Maheshwari;2020;0;0;7;27
2401;expert;Rishav Sharma;2021;0;1;5;27
2402;expert;Rifky Ahmad Saputra;2021;0;1;4;27
2403;expert;Yonatan Rabinovich;2021;0;0;6;27
2404;expert;Artem Shlezinger;2021;0;0;6;27
2405;expert;Rishabh Arya;2021;0;0;5;27
2406;expert;Mike Pearmain;2013;1;3;2;26
2407;expert;Christoffer Karlsson;2013;0;0;8;26
2408;expert;Chandan Verma;2014;0;2;4;26
2409;expert;Jeff Herman;2015;0;0;5;26
2410;expert;Fernando Ramacciotti;2016;0;0;9;26
2411;expert;MT;2016;1;2;2;26
2412;expert;Manish Kumar;2017;1;1;3;26
2413;expert;JeruLuke;2017;1;2;11;26
2414;expert;shrikant3542;2017;0;1;5;26
2415;expert;?????;2017;1;0;4;26
2416;expert;Taemyung Heo;2017;0;2;4;26
2417;expert;Vitali Burachonok;2017;1;0;4;26
2418;expert;YeongHyeon;2017;0;0;5;26
2419;expert;Sayar Banerjee;2018;0;0;6;26
2420;expert;Xiang Zhang;2018;0;0;5;26
2421;expert;Suraj Parmar;2018;0;0;6;26
2422;expert;Hakki Kaan Simsek;2018;1;2;2;26
2423;expert;Ahmad Javed;2018;0;1;5;26
2424;expert;Ajay Chaudhary;2019;0;1;7;26
2425;expert;Vignesh Prakash;2019;0;0;5;26
2426;expert;GreyWasp;2019;0;0;5;26
2427;expert;Rutvik Deshpande;2019;0;0;7;26
2428;expert;Sagar Jha;2020;0;1;4;26
2429;expert;Anton Morenov;2020;0;0;5;26
2430;expert;Akshit Rai;2020;0;0;6;26
2431;expert;G_R_S;2020;0;0;7;26
2432;expert;Akihiro Nomura;2020;0;0;5;26
2433;expert;Shashank Vats;2020;0;0;5;26
2434;expert;Tushar Mishra;2020;0;0;5;26
2435;expert;Annette Catherine Paul;2020;0;0;5;26
2436;expert;Ashwin V;2020;0;1;4;26
2437;expert;Pavan Reddy;2020;0;0;6;26
2438;expert;Shivam Mittal;2020;0;1;4;26
2439;expert;Yamac Eren Ay;2020;0;0;7;26
2440;expert;Tomonori Sasaki;2020;0;1;5;26
2441;expert;Archit9406;2020;0;1;4;26
2442;expert;Christopher W Smith;2020;0;0;5;26
2443;expert;P Vijay Simha Reddy;2021;0;2;3;26
2444;expert;Kaaliya;2021;0;0;6;26
2445;expert;Shesh Narayan Gupta;2021;0;0;5;26
2446;expert;LCL__production;2021;0;0;5;26
2447;master;Nigel Carpenter;2012;3;8;8;25
2448;expert;Brian Roach;2013;0;1;10;25
2449;expert;SM;2015;0;4;4;25
2450;expert;Chi-10510;2015;0;0;5;25
2451;expert;RVK;2016;0;1;9;25
2452;expert;Amandeep Rathee;2017;2;1;7;25
2453;expert;Ashok Suthar;2017;0;1;4;25
2454;expert;thatdataanalyst;2017;0;4;8;25
2455;expert;Jaime Valero;2017;0;1;5;25
2456;expert;Anna Novikova;2018;1;0;4;25
2457;expert;Ilham Firdausi Putra;2018;0;1;5;25
2458;expert;hongym7;2018;0;1;4;25
2459;expert;Debanjan Sarkar;2018;0;0;6;25
2460;expert;Shikhar Sharma;2018;0;0;6;25
2461;expert;Venkat Murali;2019;0;0;10;25
2462;expert;Maxime Lenormand;2019;0;2;3;25
2463;expert;Prateek Sharma;2019;0;0;7;25
2464;expert;Cihan Senol;2019;0;0;6;25
2465;expert;xXShreyXx;2019;0;0;5;25
2466;expert;Jayashree Domala;2019;0;0;6;25
2467;expert;sm_erlo;2019;1;0;4;25
2468;expert;shubhamshukla;2019;0;0;8;25
2469;expert;Shubra jain;2019;0;0;5;25
2470;expert;Sarthak khandelwal;2019;0;0;6;25
2471;expert;SuryaJR_Rafl;2019;0;0;5;25
2472;expert;yasagure;2020;0;2;5;25
2473;expert;BENUVARGHESEBENJAMIN;2020;0;2;5;25
2474;expert;Matheus de Albuquerque;2020;0;1;6;25
2475;expert;Sri Polu;2020;0;0;6;25
2476;expert;ibrahimyildiz;2020;0;0;6;25
2477;expert;Tamil Selvan;2020;0;1;4;25
2478;expert;Nikhil Kumawat;2020;0;0;6;25
2479;expert;Himanshu;2020;0;0;5;25
2480;expert;Grishma Modi;2020;0;0;9;25
2481;expert;Jin Bonnie;2020;0;0;5;25
2482;expert;Alireza Khodaparast;2020;0;0;5;25
2483;expert;Rahul Makwana;2020;0;1;4;25
2484;expert;Omar Hany;2020;0;0;6;25
2485;expert;jonas albrecht;2020;0;0;6;25
2486;expert;Gihun Lee;2021;0;0;6;25
2487;expert;Sayooj;2021;0;0;6;25
2488;expert;Saurabh Prakash Giri;2021;0;0;6;25
2489;expert;Seoha;2021;0;0;5;25
2490;expert;DrAnshika Sharma;2021;0;0;5;25
2491;expert;Manas Marathe;2021;0;0;5;25
2492;expert;Databoxplot;2021;0;0;5;25
2493;expert;I_UTKARSH_TRIPATHI;2021;0;0;5;25
2494;expert;Kuber@IITB;2013;0;0;6;24
2495;expert;Kathakali Seth;2014;0;4;1;24
2496;expert;Krishna Yogi;2014;0;0;5;24
2497;expert;Sergei Neviadomski;2015;3;1;1;24
2498;expert;TSilveira;2015;0;2;5;24
2499;expert;Panchajanya Banerjee (Pancham);2016;0;2;10;24
2500;expert;Mohit;2016;0;1;5;24
2501;expert;AJ;2016;1;1;5;24
2502;expert;Nathan Lauga;2017;0;1;6;24
2503;expert;Joydeb Mondal;2018;0;1;4;24
2504;expert;M.Zunair;2018;0;0;8;24
2505;expert;Sergey Kalutsky;2018;1;1;3;24
2506;expert;Rohit Gupta;2018;0;1;5;24
2507;expert;anthokalel;2018;0;0;5;24
2508;expert;Shifa Sanadi;2018;0;0;7;24
2509;expert;Efe Ergun;2018;0;3;4;24
2510;expert;Niwanshu Maheshwari;2018;0;0;8;24
2511;expert;kageyama;2018;0;1;9;24
2512;expert;Kei Miyamae;2018;0;2;4;24
2513;expert;timetraveller;2019;0;2;3;24
2514;expert;Rishi Kakkar;2019;0;0;5;24
2515;expert;SeungWon Kim;2019;0;0;7;24
2516;expert;john willson;2019;0;1;5;24
2517;expert;Nandan Pandey;2019;0;0;7;24
2518;expert;Yogesh Singla;2019;0;1;4;24
2519;expert;Balaka Biswas;2020;0;0;5;24
2520;expert;Muslum Polat;2020;0;0;5;24
2521;expert;KD007;2020;0;1;4;24
2522;expert;Shyam sundar V;2020;0;0;6;24
2523;expert;Manan Jhaveri;2020;0;0;5;24
2524;expert;Süfyan Taþkýn;2020;0;0;5;24
2525;expert;Ada Kibet;2020;0;0;6;24
2526;expert;Ravi Sane;2020;0;0;6;24
2527;expert;Pratham Tripathi;2020;0;0;6;24
2528;expert;Nishkarsh Tripathi;2020;0;1;4;24
2529;expert;Saurabh Gupta;2020;0;0;5;24
2530;expert;Michal Wilkosz;2020;0;0;6;24
2531;expert;Vadim Timakin;2020;0;1;4;24
2532;expert;Jayant Mathur;2020;0;0;5;24
2533;expert;Smriti;2021;0;0;5;24
2534;expert;Zuyufullah Manna;2021;0;0;6;24
2535;expert;Tasneem Mohamed Saad;2021;0;0;5;24
2536;expert;Oleksandr (Alex) Akulov;2014;1;1;4;23
2537;expert;Some Aditya Mandal;2015;0;1;4;23
2538;expert;Michael Diskin;2017;1;0;4;23
2539;expert;gulbulut;2017;0;0;6;23
2540;expert;spongebob;2017;0;2;10;23
2541;expert;Sachin Shelar;2018;0;4;8;23
2542;expert;AnmolNarang;2018;0;0;5;23
2543;expert;Abhishekmamidi;2018;0;3;5;23
2544;expert;Simran Jain;2018;0;0;5;23
2545;expert;Shanth;2018;3;1;2;23
2546;expert;André Neves;2018;0;1;8;23
2547;expert;Merve Bayram Durna;2018;0;2;3;23
2548;expert;Pravin;2019;0;1;4;23
2549;expert;Anil;2019;0;0;5;23
2550;expert;Shehryar Humayun;2019;0;0;5;23
2551;expert;Federico Raimondi;2019;0;1;6;23
2552;expert;user;2019;0;1;5;23
2553;expert;Mert Altunay;2019;0;3;3;23
2554;expert;naks;2019;0;0;6;23
2555;expert;Gotam Dahiya;2020;0;0;7;23
2556;expert;zefirchik;2020;0;0;6;23
2557;expert;Ravirajsinh Dabhi;2020;0;0;6;23
2558;expert;Paramatma Pulivarthi;2020;0;0;5;23
2559;expert;deeplearner;2020;0;0;7;23
2560;expert;Aarya AB;2020;0;0;5;23
2561;expert;Abhishek Dhule;2020;0;0;6;23
2562;expert;Kundan Jha;2020;0;0;5;23
2563;expert;Zachary Wyman;2020;0;0;5;23
2564;expert;CHANDAN;2020;0;2;3;23
2565;expert;Iþýl Güler;2021;0;0;5;23
2566;expert;I_Mohit_mk;2021;0;0;5;23
2567;expert;Jose Berengueres;2012;1;1;4;22
2568;expert;Robert David Burbidge PhD;2013;0;1;7;22
2569;expert;EZ;2015;0;3;3;22
2570;expert;Kiran Kunapuli;2015;1;1;3;22
2571;expert;Andy White;2016;0;1;4;22
2572;expert;RomanKyrychenko;2016;0;1;4;22
2573;expert;tarobxl;2016;0;1;9;22
2574;expert;Qing Liu;2016;1;1;3;22
2575;expert;Vladimir Fomenko;2016;0;0;6;22
2576;expert;somnambWl;2017;0;2;3;22
2577;expert;shishir ranjan;2017;1;1;4;22
2578;expert;Ganesh N;2017;0;3;2;22
2579;expert;Kevin;2017;1;3;2;22
2580;expert;Alan Choon;2018;0;0;5;22
2581;expert;Max Jeblick;2018;0;2;4;22
2582;expert;hiromu;2018;0;2;3;22
2583;expert;Akshay Chavan;2018;0;0;5;22
2584;expert;Joshua Reed;2018;0;3;3;22
2585;expert;Miljan Stojiljkovic;2018;0;0;5;22
2586;expert;Ravi Singh;2018;0;0;5;22
2587;expert;Javed Ahemad;2019;0;0;6;22
2588;expert;Nitish Kumar Thakur;2019;0;0;5;22
2589;expert;Emre TATBAK;2019;0;0;4;22
2590;expert;Vaibhav Saxena;2019;0;0;6;22
2591;expert;Selim SAVAÞ;2019;0;0;6;22
2592;expert;Victor Zaguskin;2019;0;1;5;22
2593;expert;MOHAMMED RUSHAN;2019;0;0;5;22
2594;expert;Abhishek Singh;2019;0;0;6;22
2595;expert;SAURABH THAKUR;2019;0;0;6;22
2596;expert;Alex Tsepa;2019;0;0;7;22
2597;expert;Sagnik;2020;0;0;5;22
2598;expert;PIkachu;2020;0;0;5;22
2599;expert;MOHIT KUMAR;2020;0;1;4;22
2600;expert;Archan Ghosh;2020;0;0;6;22
2601;expert;Senol Comert;2020;0;0;5;22
2602;expert;Himanshu Madan;2020;0;0;6;22
2603;expert;Fýrat Polat;2020;0;0;5;22
2604;expert;Pranshu15;2020;0;0;5;22
2605;expert;Im Chentouf;2020;0;0;5;22
2606;expert;Basar Kaya (Student);2020;0;0;6;22
2607;expert;shubhankit sirvaiya;2020;0;0;5;22
2608;expert;Timothy Alex John;2020;0;0;5;22
2609;expert;Muhammad Shahzad;2020;0;0;5;22
2610;expert;Aditya;2020;0;0;5;22
2611;expert;Coding Treat;2021;0;0;5;22
2612;expert;Tony Y.;2015;1;2;4;21
2613;expert;ChrisCC;2015;1;0;4;21
2614;expert;GauthamKumaran;2016;0;1;4;21
2615;expert;AdhokshajaPradeep;2016;0;1;15;21
2616;expert;JyeSR;2016;0;0;9;21
2617;expert;SubhamNagar;2016;0;0;6;21
2618;expert;Ivan;2017;0;3;2;21
2619;expert;YaGana Sheriff-Hussaini;2017;0;3;4;21
2620;expert;Hoang Nguyen;2017;0;1;5;21
2621;expert;Pizzaboi;2017;0;3;3;21
2622;expert;Yakub Ahmed;2018;0;0;6;21
2623;expert;Sarthak Rana;2018;0;1;4;21
2624;expert;Eric A. Scuccimarra;2018;1;2;4;21
2625;expert;ARES;2018;0;2;3;21
2626;expert;Tushar;2018;0;0;6;21
2627;expert;ArnabP;2018;0;0;5;21
2628;expert;Piyush;2018;0;1;8;21
2629;expert;Paul Nussbaum, PhD;2018;0;3;6;21
2630;expert;saewonYang;2018;0;1;5;21
2631;expert;Samson Qian;2018;1;1;3;21
2632;expert;Gajendra Saraswat;2018;0;0;7;21
2633;expert;D1nall;2019;0;0;5;21
2634;expert;Parth Sharma;2019;1;0;4;21
2635;expert;Nader Atef;2019;0;0;5;21
2636;expert;Payonear;2019;0;0;5;21
2637;expert;ashok;2019;0;0;7;21
2638;expert;Alexander Antonov;2019;0;0;6;21
2639;expert;R. Joseph Manoj, PhD;2019;0;0;6;21
2640;expert;Vyacheslav Razin;2019;0;0;5;21
2641;expert;Oguzhan Sahin;2019;0;0;5;21
2642;expert;Aishwarya;2019;0;0;7;21
2643;expert;yash chaudhary;2019;0;0;5;21
2644;expert;Vineeth;2019;0;0;6;21
2645;expert;Manas Acharya;2019;0;0;7;21
2646;expert;Vishak Nair;2019;0;0;6;21
2647;expert;Bruno Archetti;2020;0;0;7;21
2648;expert;Dijoraj Sen Roy;2020;0;0;7;21
2649;expert;Pritha Roy Choudhury;2020;0;0;5;21
2650;expert;Joshua Choi;2020;0;0;5;21
2651;expert;John Tharian;2020;0;0;5;21
2652;expert;Ashutosh619-sudo;2020;0;0;6;21
2653;expert;Simran_k;2020;0;0;6;21
2654;expert;Rohit Sahoo;2020;0;0;6;21
2655;expert;Vaibhav Birla;2020;0;0;6;21
2656;expert;Gaurav Singh;2020;0;0;5;21
2657;expert;Amit Karmakar;2020;0;0;6;21
2658;expert;Devesh Mishra;2020;0;0;5;21
2659;expert;Vishnu Varthan Rao;2020;0;0;7;21
2660;expert;Ihor Muliar;2020;0;0;5;21
2661;expert;Sumit.Singh_20;2020;0;0;8;21
2662;expert;Akash Sikarwar;2020;0;0;6;21
2663;expert;VSangarya;2021;0;1;5;21
2664;expert;iShwetaJha;2021;0;0;5;21
2665;expert;Ahmet Acar;2021;0;0;5;21
2666;expert;Gurhar Khalsa;2021;0;0;5;21
2667;expert;YASHASWITA SINGH;2021;0;0;5;21
2668;expert;Zaide Z;2021;0;0;5;21
2669;expert;Philipp Schmidt;2013;3;2;0;20
2670;expert;Anika;2014;0;2;5;20
2671;expert;dune_dweller;2015;4;4;4;20
2672;expert;Evan Miller;2015;0;3;3;20
2673;expert;Patrick DeKelly;2015;1;1;3;20
2674;expert;SrikanthPotukuchi;2015;0;0;6;20
2675;expert;qiubit;2015;0;1;4;20
2676;expert;???(China);2016;1;1;4;20
2677;expert;Donyoe;2016;1;1;16;20
2678;expert;Abir Pattnaik;2016;0;0;7;20
2679;expert;Anjana Tiha;2017;0;0;7;20
2680;expert;Gábor Vecsei;2017;0;2;3;20
2681;expert;AkshatGupta;2018;0;0;8;20
2682;expert;Amogh;2018;0;0;6;20
2683;expert;Avinash Kumar;2018;0;1;5;20
2684;expert;Pragyan Subedi;2018;0;1;5;20
2685;expert;Martina Bohunicka;2018;0;0;5;20
2686;expert;De Marchi Fabio;2018;0;0;5;20
2687;expert;IRONSIGHT;2019;0;0;6;20
2688;expert;Nicolas H;2019;1;0;6;20
2689;expert;Raj Shinde;2019;0;1;8;20
2690;expert;davejammin;2019;0;0;6;20
2691;expert;Rodolfo Luna;2019;0;0;5;20
2692;expert;Sreeja;2020;0;0;5;20
2693;expert;Anshul Jain;2020;0;0;5;20
2694;expert;???????;2020;0;0;6;20
2695;expert;Priyanka Gupta;2020;0;0;5;20
2696;expert;Rashidul Hasan Hridoy;2020;0;0;6;20
2697;expert;akash tk;2020;0;0;6;20
2698;expert;Mahnoor Shahid;2020;0;0;5;20
2699;expert;Avi Mehta;2020;0;0;6;20
2700;expert;Nakendraprasath K;2020;0;0;5;20
2701;expert;Abhishek Parashar;2020;0;0;6;20
2702;expert;Felipe Oliveira;2020;0;0;7;20
2703;expert;Diksha Aggarwal;2020;0;0;5;20
2704;expert;FoucardM;2021;0;0;5;20
2705;expert;Shiva Raj Mishra;2021;0;0;5;20
2706;expert;George Fisher;2013;0;1;4;19
2707;expert;Matias Thayer;2015;1;1;8;19
2708;expert;n01z3;2016;2;3;1;19
2709;expert;Giulia Savorgnan;2016;0;3;2;19
2710;expert;Francis Paul Flores;2017;1;2;2;19
2711;expert;Bruce;2017;1;2;2;19
2712;expert;Tahsin Mostafiz;2017;0;0;5;19
2713;expert;SkalskiP;2018;0;3;4;19
2714;expert;Rishabh Pande;2018;0;3;5;19
2715;expert;Tayyab Ali;2018;0;0;10;19
2716;expert;Oleksandr Kosovan;2018;0;1;5;19
2717;expert;Antonis Maronikolakis;2018;1;3;4;19
2718;expert;Ankur;2018;0;0;5;19
2719;expert;Renan Costalonga Monteiro;2018;0;0;5;19
2720;expert;Ankit Sati;2018;0;3;2;19
2721;expert;Regaip Kurt;2019;0;0;6;19
2722;expert;Dhruv Makwana;2019;0;0;5;19
2723;expert;Hamza Tanç;2019;0;0;7;19
2724;expert;Orhan Sertkaya;2019;0;0;8;19
2725;expert;reda abdou;2019;0;2;4;19
2726;expert;Rushikesh Hiray;2019;0;0;6;19
2727;expert;shivam;2019;0;0;5;19
2728;expert;LeonShangguan;2019;0;0;6;19
2729;expert;raj naruka;2019;0;0;7;19
2730;expert;Rodrigo Lima;2019;0;1;6;19
2731;expert;Prasad Patil;2019;0;0;7;19
2732;expert;Vinay Singh;2019;0;0;5;19
2733;expert;Krishna Chaitanya Yarlagadda;2019;0;0;6;19
2734;expert;vishu mudgal;2019;0;0;5;19
2735;expert;Greeshma;2019;0;0;7;19
2736;expert;Akhil Srivastava;2020;0;0;5;19
2737;expert;Prateek Mishra;2020;0;0;6;19
2738;expert;Srinath Srinivasan;2020;0;0;5;19
2739;expert;yavuz koksal;2020;0;0;5;19
2740;expert;NotoriousM.O.Y;2020;0;0;6;19
2741;expert;Bivek Subedi;2020;0;0;6;19
2742;expert;Amshra267;2020;0;0;5;19
2743;expert;Sumit Hawal;2020;0;0;6;19
2744;expert;Harsh Sinha;2020;0;0;6;19
2745;expert;Aditya Aggarwal;2020;0;0;7;19
2746;expert;Astha Jha;2020;0;0;5;19
2747;expert;Aditya Kaushik;2020;0;0;5;19
2748;expert;Anindita Karmakar;2021;0;0;5;19
2749;expert;Samarth Gupta;2021;0;0;5;19
2750;expert;DATA VISUALs;2021;0;0;5;19
2751;expert;wti 200;2015;0;4;7;18
2752;expert;takuoko;2017;0;3;2;18
2753;expert;outrunner;2017;1;1;3;18
2754;expert;Robert Constable;2018;0;0;5;18
2755;expert;Defend Intelligence;2018;0;2;4;18
2756;expert;Sheik Mohamed Imran;2018;0;1;6;18
2757;expert;Sanchit Tanwar;2018;0;0;5;18
2758;expert;Macit Giray Gökýrmak;2018;0;0;6;18
2759;expert;Will Canniford;2018;0;1;6;18
2760;expert;Ashish Jagadish;2018;1;0;4;18
2761;expert;Miguel Angel Cotrina Espinoza;2018;0;0;6;18
2762;expert;Mayank Gupta;2018;0;0;6;18
2763;expert;darkrubiks;2019;0;0;5;18
2764;expert;Andrew W;2019;0;1;4;18
2765;expert;Nathan Zhong;2019;0;0;5;18
2766;expert;Pawandeep Singh;2019;0;0;5;18
2767;expert;Harsh;2019;0;0;5;18
2768;expert;suprit.deepak;2019;0;0;5;18
2769;expert;Vikas Ojha;2019;0;0;5;18
2770;expert;YASH GOYAL;2019;0;0;5;18
2771;expert;Vinod R;2020;0;0;5;18
2772;expert;Rohit Kumar Singh;2020;0;0;5;18
2773;expert;Matthew Morgan;2020;0;0;5;18
2774;expert;Mansi Meena;2020;0;0;5;18
2775;expert;Samet ÇEVÝK;2020;0;0;5;18
2776;expert;Ritik Meena;2020;0;0;5;18
2777;expert;Aniket Yadav;2020;0;0;5;18
2778;expert;Aishwarya;2020;0;1;4;18
2779;expert;Anurag Bantu;2020;0;1;5;18
2780;expert;Rishab Dhar;2020;0;0;5;18
2781;expert;Gökalp Olukcu;2020;0;0;5;18
2782;expert;oscar matias torres;2021;0;0;7;18
2783;expert;Dmitry Dryomov;2010;0;2;5;17
2784;expert;Zach;2011;0;1;4;17
2785;expert;Jannes Klaas;2013;0;1;4;17
2786;expert;kambarakun;2015;0;2;4;17
2787;expert;DSEverything;2015;1;2;5;17
2788;expert;Abhilash Awasthi;2015;0;2;6;17
2789;expert;Grzegorz Sionkowski;2015;2;1;7;17
2790;expert;Danilo da Silva;2016;1;1;3;17
2791;expert;Roberto Spadim;2016;0;2;6;17
2792;expert;Ibad Ur Rahman;2016;0;1;6;17
2793;expert;TimLee;2016;1;3;1;17
2794;expert;NikitPatel;2016;0;0;16;17
2795;expert;SubhamoyBhaduri;2017;0;0;5;17
2796;expert;"Alan ""AJ"" Pryor, Ph.D.";2017;2;0;5;17
2797;expert;Duo An;2017;2;1;4;17
2798;expert;Kaggoo;2017;0;2;4;17
2799;expert;Juan Antonio;2017;0;0;5;17
2800;expert;Kanav Anand;2017;0;2;6;17
2801;expert;ADM;2017;1;2;4;17
2802;expert;Bhuwanesh Tripathi;2017;0;0;6;17
2803;expert;Rasyid Ridha;2018;0;1;4;17
2804;expert;luffy;2018;0;0;7;17
2805;expert;Zhuang Jia;2018;0;2;4;17
2806;expert;Yeonjun In;2018;0;0;5;17
2807;expert;filipefilardi;2018;0;0;6;17
2808;expert;Joseph Mohr;2018;0;0;5;17
2809;expert;Anil Kumar Reddy;2018;0;0;5;17
2810;expert;JM100;2019;0;0;5;17
2811;expert;NoLogic;2019;0;0;6;17
2812;expert;Nupur Kapur;2019;0;0;5;17
2813;expert;Sanskruti Panda;2020;0;0;5;17
2814;expert;Ashutosh Varma;2020;0;0;6;17
2815;expert;Icaro Freire;2020;0;0;5;17
2816;expert;Siraz Naorem;2020;0;0;5;17
2817;expert;Alberto Maria Falletta;2020;0;0;6;17
2818;expert;Parsa Samadnejad;2021;0;0;5;17
2819;expert;The Mike Jones;2021;0;0;5;17
2820;expert;piby4;2015;0;0;5;16
2821;expert;Mohanraj;2015;0;2;3;16
2822;expert;GunnvantSaini;2016;0;3;3;16
2823;expert;Kartik Godawat;2016;0;1;5;16
2824;expert;Nikhil Tomar;2017;0;2;6;16
2825;expert;Yanting Zeng;2017;0;0;6;16
2826;expert;Ritisha Jaiswal;2018;0;1;4;16
2827;expert;Harshit Kapoor;2018;0;0;5;16
2828;expert;Sabin Hashmi;2018;0;0;7;16
2829;expert;Sanket(??);2018;0;0;15;16
2830;expert;Dmitriy Ershov;2018;0;2;4;16
2831;expert;siddharth;2018;0;0;11;16
2832;expert;Alvaro;2019;0;0;6;16
2833;expert;Harsh;2019;0;0;5;16
2834;expert;Deepak Chaudhary;2019;0;0;5;16
2835;expert;Sumit Mishra;2019;0;0;5;16
2836;expert;siddhant ranjan;2019;0;0;5;16
2837;expert;Prayank;2019;0;0;6;16
2838;expert;Eren Tekin;2019;0;0;5;16
2839;expert;Akhilesh;2019;0;0;6;16
2840;expert;Dhruv;2019;0;0;5;16
2841;expert;Indronil Bhattacharjee;2019;0;0;5;16
2842;expert;Yassine Hamdaoui;2019;0;0;5;16
2843;expert;batu bayraktar;2019;0;0;6;16
2844;expert;Andri? Makarchuk;2020;0;0;5;16
2845;expert;Kevin Chan;2020;0;0;5;16
2846;expert;Muhammed Nafiz Canýtez;2020;0;0;5;16
