country,SUBJECT,TIME,Value
MEX,OTHPRIVENT,2017,0.320235
MEX,OTHPRIVENT,2018,0.2583534
NLD,HH,2012,15.16537
NLD,HH,2013,15.47029
NLD,HH,2014,15.83626
NLD,HH,2015,16.13021
NLD,HH,2016,16.4145
NLD,HH,2017,16.58046
NLD,HH,2018,15.77934
NLD,OTHPRIVENT,2012,13.53499
NLD,OTHPRIVENT,2013,13.36095
NLD,OTHPRIVENT,2014,13.33254
NLD,OTHPRIVENT,2015,13.1394
NLD,OTHPRIVENT,2016,12.99766
NLD,OTHPRIVENT,2017,13.19869
NLD,OTHPRIVENT,2018,13.09509
NZL,HH,2012,33.09443
NZL,HH,2013,32.95682
NZL,HH,2014,34.26603
NZL,HH,2015,33.77224
NZL,HH,2016,34.01404
NZL,HH,2017,33.30194
NZL,HH,2018,32.27697
NOR,HH,2012,3.293702
NOR,HH,2013,3.415701
NOR,HH,2014,3.491395
NOR,HH,2015,3.839613
NOR,HH,2016,3.492168
NOR,HH,2017,3.973432
NOR,HH,2018,3.766532
POL,HH,2005,26.01591
POL,HH,2008,23.4951
POL,HH,2009,22.54164
POL,HH,2010,21.8244
POL,HH,2011,23.8429
POL,HH,2012,19.33882
POL,HH,2013,17.05992
POL,HH,2014,15.76447
POL,HH,2015,14.05212
POL,HH,2016,15.73391
POL,HH,2017,14.88831
POL,HH,2018,14.42333
POL,OTHPRIVENT,2008,6.615318
POL,OTHPRIVENT,2009,7.406915
POL,OTHPRIVENT,2010,6.642091
POL,OTHPRIVENT,2011,1.847394
POL,OTHPRIVENT,2012,2.182184
POL,OTHPRIVENT,2013,1.911044
POL,OTHPRIVENT,2014,2.130824
POL,OTHPRIVENT,2015,2.123391
POL,OTHPRIVENT,2016,2.66317
POL,OTHPRIVENT,2017,3.624793
POL,OTHPRIVENT,2018,5.522387
PRT,HH,2012,32.16301
PRT,HH,2013,29.3991
PRT,HH,2014,28.60262
PRT,HH,2015,26.06713
PRT,HH,2016,27.84863
PRT,HH,2017,28.99885
PRT,HH,2018,27.862
PRT,OTHPRIVENT,2012,9.897951
PRT,OTHPRIVENT,2013,8.848092
PRT,OTHPRIVENT,2014,5.659674
PRT,OTHPRIVENT,2015,5.519337
PRT,OTHPRIVENT,2016,3.741936
PRT,OTHPRIVENT,2017,3.874444
PRT,OTHPRIVENT,2018,3.901161
SVK,HH,2012,13.52397
SVK,HH,2013,13.01285
SVK,HH,2014,11.36782
SVK,HH,2015,10.4623
SVK,HH,2016,16.38752
SVK,HH,2017,14.64147
SVK,HH,2018,14.69813
SVK,OTHPRIVENT,2012,12.18276
SVK,OTHPRIVENT,2013,11.48541
SVK,OTHPRIVENT,2014,11.04783
SVK,OTHPRIVENT,2015,9.313937
SVK,OTHPRIVENT,2016,11.92654
SVK,OTHPRIVENT,2017,14.29247
SVK,OTHPRIVENT,2018,14.56619
ESP,HH,2012,22.62269
ESP,HH,2013,26.99304
ESP,HH,2014,27.66081
ESP,HH,2015,28.79221
ESP,HH,2016,29.17586
ESP,HH,2017,28.76374
ESP,HH,2018,30.77025
ESP,OTHPRIVENT,2012,3.914681
ESP,OTHPRIVENT,2013,3.248788
ESP,OTHPRIVENT,2014,3.442302
ESP,OTHPRIVENT,2015,3.006161
ESP,OTHPRIVENT,2016,3.687877
ESP,OTHPRIVENT,2017,3.438999
ESP,OTHPRIVENT,2018,2.932179
SWE,OTHPRIVENT,2012,9.932481
SWE,OTHPRIVENT,2013,9.503079
SWE,OTHPRIVENT,2014,9.833078
SWE,OTHPRIVENT,2015,10.47226
SWE,OTHPRIVENT,2016,10.79282
SWE,OTHPRIVENT,2017,10.60457
SWE,OTHPRIVENT,2018,10.43093
GBR,HH,2012,18.59879
GBR,HH,2013,41.24595
GBR,HH,2014,45.8097
GBR,HH,2015,48.00822
GBR,HH,2016,51.83641
GBR,HH,2017,52.46628
GBR,HH,2018,52.31844
GBR,OTHPRIVENT,2012,22.92363
GBR,OTHPRIVENT,2013,22.33045
GBR,OTHPRIVENT,2014,23.57331
GBR,OTHPRIVENT,2015,23.39815
GBR,OTHPRIVENT,2016,16.87294
GBR,OTHPRIVENT,2017,18.54651
GBR,OTHPRIVENT,2018,19.00179
USA,HH,1995,46.2758
USA,HH,2000,34.36904
USA,HH,2005,39.14315
USA,HH,2008,40.26979
USA,HH,2009,42.7215
USA,HH,2010,44.14247
USA,HH,2011,43.58802
USA,HH,2012,45.84794
USA,HH,2013,46.49788
USA,HH,2014,46.18878
USA,HH,2015,46.29568
USA,HH,2016,45.88216
USA,HH,2017,45.38839
USA,HH,2018,44.66441
USA,OTHPRIVENT,1995,15.08067
USA,OTHPRIVENT,2000,21.8863
USA,OTHPRIVENT,2005,18.89029
