,Indicator,2021,2022,2023
0,complex-HH-expand,55.954242148138626,58.899612242584766,61.913104471915965
0,complex-OTHPRIVENT-expand,22.45355099501089,23.57065273246728,24.712323096060917
0,complex-PRIV-expand,78.40779116899064,82.47026264611361,86.62542487114548
0,complex-PUB-expand,41.59220200434954,43.138686231047885,44.70836093224045
0,time-expand-expand,1.9260507085301486,1.9328198526876734,1.9397859526922947
0,time-in-column_1-expand,63.801197999999985,75.60582935999997,89.83509420800011
